DRYBULBTEMPF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,VISIBILITY
46.0,63.0,5.0,270.0,30.26,10.0
62.0,65.0,13.0,330.0,29.71,10.0
37.0,42.0,11.0,320.0,30.17,10.0
65.0,33.0,25.0,260.0,29.65,10.0
75.0,41.0,8.0,330.0,29.85,10.0
39.0,55.0,8.0,290.0,30.25,10.0
61.0,36.0,20.0,330.0,29.87,10.0
81.0,24.0,14.0,330.0,29.88,10.0
63.0,84.0,10.0,260.0,30.0,4.0
65.0,76.0,7.0,350.0,30.17,10.0
41.0,73.0,15.0,320.0,29.62,10.0
38.0,44.0,16.0,300.0,30.15,10.0
44.0,58.0,16.0,290.0,30.16,10.0
28.0,51.0,3.0,290.0,30.3,10.0
82.0,32.0,3.0,360.0,29.98,10.0
58.0,38.0,14.0,310.0,29.97,10.0
75.0,79.0,7.0,340.0,29.78,10.0
61.0,18.0,16.0,290.0,30.09,10.0
50.0,43.0,14.0,280.0,29.92,10.0
40.0,83.0,24.0,350.0,30.21,10.0
32.0,36.0,14.0,320.0,30.48,10.0
59.0,46.0,14.0,280.0,30.0,10.0
72.0,59.0,7.0,260.0,29.88,10.0
58.0,67.0,10.0,350.0,30.17,10.0
37.0,54.0,18.0,310.0,29.98,10.0
45.0,80.0,18.0,350.0,29.79,6.0
61.0,38.0,3.0,330.0,30.13,10.0
78.0,39.0,11.0,320.0,30.04,10.0
52.0,61.0,9.0,350.0,30.2,10.0
88.0,45.0,6.0,310.0,29.82,10.0
28.0,49.0,3.0,330.0,30.3,10.0
37.0,76.0,7.0,360.0,30.32,10.0
56.0,32.0,14.0,280.0,30.1,10.0
34.0,67.0,6.0,340.0,30.29,10.0
58.0,51.0,11.0,310.0,30.09,10.0
81.0,38.0,9.0,290.0,29.82,10.0
40.0,68.0,13.0,320.0,29.9,10.0
58.0,72.0,10.0,350.0,30.06,10.0
57.0,81.0,13.0,310.0,29.88,10.0
50.0,71.0,14.0,300.0,29.85,10.0
65.0,54.0,13.0,280.0,30.06,10.0
53.0,55.0,6.0,310.0,30.08,10.0
72.0,38.0,18.0,260.0,29.93,10.0
58.0,28.0,20.0,300.0,29.76,10.0
39.0,38.0,11.0,310.0,30.14,10.0
36.0,86.0,20.0,330.0,29.88,7.0
71.0,46.0,14.0,320.0,29.87,10.0
80.0,33.0,14.0,310.0,30.13,10.0
64.0,32.0,23.0,310.0,29.61,10.0
84.0,33.0,15.0,350.0,29.88,10.0
60.0,72.0,9.0,350.0,30.06,10.0
53.0,47.0,22.0,290.0,29.62,10.0
61.0,50.0,9.0,260.0,30.09,10.0
50.0,59.0,22.0,310.0,29.61,10.0
38.0,57.0,15.0,260.0,29.75,10.0
39.0,60.0,14.0,290.0,29.97,10.0
53.0,37.0,23.0,280.0,29.77,10.0
30.0,36.0,13.0,260.0,30.26,10.0
45.0,52.0,20.0,290.0,29.88,10.0
48.0,54.0,16.0,280.0,29.83,10.0
60.0,58.0,11.0,360.0,30.26,10.0
66.0,34.0,9.0,320.0,30.14,10.0
50.0,52.0,14.0,280.0,29.72,10.0
39.0,79.0,13.0,330.0,29.96,10.0
72.0,43.0,11.0,290.0,29.93,10.0
39.0,86.0,21.0,360.0,29.76,5.0
51.0,41.0,13.0,250.0,30.13,10.0
36.0,76.0,5.0,340.0,30.06,10.0
83.0,27.0,9.0,280.0,30.07,10.0
68.0,73.0,5.0,360.0,30.08,10.0
69.0,59.0,16.0,350.0,29.94,10.0
56.0,49.0,8.0,360.0,29.93,10.0
60.0,35.0,10.0,330.0,30.2,10.0
58.0,46.0,9.0,260.0,29.84,10.0
48.0,86.0,8.0,300.0,29.87,10.0
42.0,65.0,9.0,260.0,30.14,10.0
78.0,76.0,8.0,290.0,29.78,10.0
39.0,53.0,13.0,340.0,30.15,10.0
39.0,57.0,14.0,320.0,29.96,10.0
83.0,53.0,14.0,260.0,29.64,10.0
66.0,50.0,21.0,360.0,30.12,10.0
33.0,56.0,5.0,360.0,30.25,10.0
36.0,70.0,9.0,350.0,30.29,10.0
72.0,43.0,14.0,280.0,29.93,10.0
56.0,75.0,9.0,280.0,29.91,10.0
55.0,47.0,18.0,280.0,29.69,10.0
74.0,40.0,10.0,290.0,29.87,10.0
66.0,84.0,28.0,350.0,29.87,7.0
38.0,83.0,6.0,360.0,30.31,10.0
44.0,60.0,9.0,360.0,30.08,10.0
82.0,35.0,11.0,360.0,29.99,10.0
70.0,23.0,15.0,340.0,30.05,10.0
67.0,73.0,8.0,360.0,29.99,10.0
75.0,21.0,9.0,360.0,30.06,10.0
81.0,65.0,7.0,360.0,29.83,10.0
64.0,52.0,9.0,310.0,29.91,10.0
37.0,76.0,15.0,330.0,29.94,10.0
69.0,53.0,11.0,360.0,30.16,10.0
55.0,47.0,20.0,310.0,29.57,10.0
84.0,27.0,10.0,300.0,30.1,10.0
49.0,35.0,26.0,310.0,29.85,10.0
53.0,86.0,23.0,350.0,29.74,10.0
40.0,63.0,16.0,320.0,29.9,10.0
42.0,85.0,22.0,330.0,29.63,2.0
70.0,57.0,8.0,330.0,30.06,10.0
53.0,77.0,20.0,340.0,29.65,10.0
53.0,32.0,21.0,320.0,29.94,10.0
49.0,46.0,15.0,270.0,29.99,10.0
60.0,31.0,14.0,350.0,30.26,10.0
32.0,38.0,9.0,330.0,30.48,10.0
37.0,86.0,8.0,340.0,29.97,10.0
52.0,86.0,18.0,310.0,29.62,10.0
64.0,17.0,15.0,310.0,29.83,10.0
74.0,85.0,10.0,280.0,29.94,7.0
51.0,83.0,5.0,360.0,30.13,10.0
49.0,52.0,10.0,260.0,30.12,10.0
53.0,57.0,7.0,320.0,30.2,10.0
70.0,64.0,6.0,350.0,30.05,10.0
65.0,32.0,25.0,270.0,29.64,10.0
58.0,72.0,14.0,350.0,30.08,10.0
57.0,53.0,5.0,360.0,30.1,10.0
48.0,61.0,14.0,320.0,29.88,10.0
47.0,80.0,25.0,310.0,29.68,8.0
62.0,67.0,7.0,350.0,29.94,10.0
44.0,34.0,18.0,310.0,29.87,10.0
47.0,74.0,18.0,290.0,29.56,10.0
40.0,33.0,15.0,330.0,30.09,10.0
43.0,34.0,13.0,280.0,30.3,10.0
36.0,86.0,18.0,340.0,29.79,10.0
49.0,86.0,3.0,330.0,29.96,10.0
41.0,67.0,7.0,270.0,30.2,10.0
23.0,44.0,11.0,280.0,30.21,10.0
56.0,60.0,17.0,310.0,29.5,10.0
69.0,25.0,10.0,310.0,30.06,10.0
38.0,51.0,16.0,320.0,30.03,10.0
77.0,22.0,10.0,350.0,29.91,10.0
69.0,36.0,7.0,330.0,30.21,10.0
39.0,45.0,14.0,360.0,30.53,10.0
